CREATING A HABITABLE ENVIRONMENT	CREATING A HABITABLE ENVIRONMENT
Humans have many basic needs and one of them is to have an environment that can sustain their lives .	Humans have many basic needs and one of them is to have an environment that can sustain their lives .
Our current population is 6 billion people and it is still growing exponentially .	Our current population is 6 billion people and it is still growing exponentially .
This will , if not already , <caused> problems as there <are> very limited <spaces> for us .	This will , if not already , <cause> problems as there <is> very limited <space> for us .
The solution can be <obtain> by using technology to achieve a better usage of space that we have and resolve the problems <in> lands <that> inhospitable such as desserts and swamps .	The solution can be <obtained> by using technology to achieve a better usage of space that we have and resolve the problems <of> lands <that are inhospitable> such as desserts and swamps .
Some countries are having difficulties in <managing> a place to live for their <citizen> as they tend to get overpopulated .	Some countries are having difficulties in <managing to get> a place to live for their <citizens> as they tend to get overpopulated .
This <caused> <problem> like the <appearance> of slums which most of the time <is> not <safe> due to <the> unhealthy environment .	This <has caused> <problems> like the <formation and growth> of slums which most of the time <are> not <safe to live in> due to <their> unhealthy environment .
The only way to satisfy the increasing demands <of> space is by achieving a better usage of <the> land like designing taller building so <it> can accommodate <more> number of people <with> the same spaces .	The only way to satisfy the increasing demands <for> space is by achieving a better usage of land like designing taller building so <the same area of land> can accommodate <a greater> number of people .
It is also important to <create> <a> better material that can support <the> buildings <despite> any natural <disaster> like earthquakes .	It is also important to <use> better material that can support buildings <during> any natural <disasters> like earthquakes .
A good example is <Japan> where there are a lot of tall condominiums despite the large number of earthquakes happening <in> there .	A good example is <Japan,> where there are a lot of tall condominiums despite the large number of earthquakes happening there .
Besides a better usage of <lands> , <a> better sanitation is also needed because a huge number of people <need> a clean environment to maintain their <heath> .	Besides a better usage of <land> , better sanitation is also needed because a huge number of people <will need> a clean environment to maintain their <health> .
For example , countries in Africa can accommodate more people if they can manage to design a better sanitation system .	For example , countries in Africa can accommodate more people if they can manage to design a better sanitation system .
Countries with a lot of inhospitable space need not only to achieve a better space usage , but also to <reforms> the land to make it livable and technology can help <it> in a number of ways depending on the <trouble> the lands have .	Countries with a lot of inhospitable space need not only to achieve a better space usage , but also to <restore the land to a livable state> and technology can help in a number of ways depending on the <quality of the land> .
For example , countries with a lot of <deserts> can <terraform> their desert to increase their habitable land and <using> irrigation to provide clean water to the desert .	For example , countries with a lot of <desert> can <transform> their desert to increase their habitable land and <use> irrigation to provide clean water to the desert .
Dubai will be a good example for this as previously the country got almost no natural <water> <and> <they> <use> irrigation to bring natural water to the country .	Dubai will be a good example for this as previously the country got almost no natural <water.> <But> <it> <uses> irrigation to bring natural water to the country .
Another example is Netherlands , <whose> most of <his> <lands> is <a> swamp under sea <level> , <have> used a good irrigation system to counter their problem and to make their land habitable .	Another example is Netherlands , <where> most of <the> <land> is swamp under sea <level. It> <has> used a good irrigation system to counter their problem and to make their land habitable .
As the number of people grows , the need <of> habitable environment is unquestionably <essential> .	As the number of people grows , the need <for> habitable environment is unquestionably <increasing> .
In this era , <Engineering> designs can help to provide more habitable <accommodation> by designing <a> stronger material <so> it 's possible to <create> <a> taller and safer building <,> a better and efficient sanitation system to prevent disease , and also by <designing> a way to change the condition of the <inhabitable> environment .	In this era , <engineering> designs can help to provide more habitable <environment> by designing stronger material to <build> <taller and safer buildings> <and> a better and efficient sanitation system to prevent disease , and also by <changing> the condition of the <otherwise uninhabitable> environment .
The Factors that Shaped Biometrics	The Factors that Shaped Biometrics
Identification has become more and more important in our society .	Identification has become more and more important in our society .
Thanks to biometric identification , nowadays , we can open a locked door without keys , withdraw money from the bank without entering password , and travel around the world without taking various cards .	Thanks to biometric identification , nowadays , we can open a locked door without keys , withdraw money from the bank without entering password , and travel around the world without taking various cards .
Biometrics , by definition , refers to technologies of measurement and analysis of human body characteristics .	Biometrics , by definition , refers to technologies of measurement and analysis of human body characteristics .
These characteristics include fingerprints , eye retinas and irises , voice patterns , facial patterns and hand measurements .	These characteristics include fingerprints , eye retinas and irises , voice patterns , facial patterns and hand measurements .
